Generated T3 mesh - 2 times 8

27   1   1   1

1   1   1   1   0.000   0.000   0
2   0   0   1   0.750   0.000   0
3   0   0   1   1.500   0.000   0
4   0   0   1   2.250   0.000   0
5   0   0   1   3.000   0.000   0
6   0   0   1   3.750   0.000   0
7   0   0   1   4.500   0.000   0
8   0   0   1   5.250   0.000   0
9   0   0   1   6.000   0.000   0
10   1   1   1   0.000   0.500   0
11   0   0   1   0.750   0.500   0
12   0   0   1   1.500   0.500   0
13   0   0   1   2.250   0.500   0
14   0   0   1   3.000   0.500   0
15   0   0   1   3.750   0.500   0
16   0   0   1   4.500   0.500   0
17   0   0   1   5.250   0.500   0
18   0   0   1   6.000   0.500   0
19   1   1   1   0.000   1.000   0
20   0   0   1   0.750   1.000   0
21   0   0   1   1.500   1.000   0
22   0   0   1   2.250   1.000   0
23   0   0   1   3.000   1.000   0
24   0   0   1   3.750   1.000   0
25   0   0   1   4.500   1.000   0
26   0   0   1   5.250   1.000   0
27   0   0   1   6.000   1.000   0

1   1
27   2   -1

3   32   1
1   1e3   0.3
1   1   2   10   1
2   2   11   10   1
3   2   3   11   1
4   3   12   11   1
5   3   4   12   1
6   4   13   12   1
7   4   5   13   1
8   5   14   13   1
9   5   6   14   1
10   6   15   14   1
11   6   7   15   1
12   7   16   15   1
13   7   8   16   1
14   8   17   16   1
15   8   9   17   1
16   9   18   17   1
17   10   11   19   1
18   11   20   19   1
19   11   12   20   1
20   12   21   20   1
21   12   13   21   1
22   13   22   21   1
23   13   14   22   1
24   14   23   22   1
25   14   15   23   1
26   15   24   23   1
27   15   16   24   1
28   16   25   24   1
29   16   17   25   1
30   17   26   25   1
31   17   18   26   1
32   18   27   26   1
